InteractionWeight,Orchestrator,Energy,LoadBalance,Coordination,Conflicts,Runtime
0.0,Capability Matching (Greedy),1.3916454315185547,1.7320507764816284,0.0,0.0,0.0007345970007008873
0.0,Energy (Pure Greedy),1.390161395072937,1.2247449159622192,0.0,0.0,0.1581007149998186
0.0,Energy (Pure SA),1.3978325128555298,1.2247449159622192,0.0,0.0,5.336884063999605
0.0,Energy (Hybrid),1.3978325128555298,1.2247449159622192,0.0,0.0,6.646118027000739
0.25,Capability Matching (Greedy),1.3916454315185547,1.7320507764816284,0.0,0.0,0.0006975819997023791
0.25,Energy (Pure Greedy),1.390161395072937,1.2247449159622192,0.0,0.0,0.15853424700071628
0.25,Energy (Pure SA),1.3978325128555298,1.2247449159622192,0.0,0.0,5.260597223000332
0.25,Energy (Hybrid),1.3978325128555298,1.2247449159622192,0.0,0.0,6.972590173999379
0.5,Capability Matching (Greedy),1.3916454315185547,1.7320507764816284,0.0,0.0,0.0006504369994217996
0.5,Energy (Pure Greedy),1.3855315446853638,1.0,2.0,0.0,0.24490293199960433
0.5,Energy (Pure SA),1.3917220830917358,1.4142135381698608,2.0,0.0,5.189907091999885
0.5,Energy (Hybrid),1.3917220830917358,1.4142135381698608,2.0,0.0,6.770168085000478
1.0,Capability Matching (Greedy),1.3916454315185547,1.7320507764816284,0.0,0.0,0.0007134420002330444
1.0,Energy (Pure Greedy),1.3614883422851562,1.4142135381698608,6.0,0.0,0.24537693399997806
1.0,Energy (Pure SA),1.3726123571395874,1.2247449159622192,8.0,0.0,4.984872492999784
1.0,Energy (Hybrid),1.3851732015609741,1.4142135381698608,2.0,0.0,6.896404660999906
2.0,Capability Matching (Greedy),1.3916454315185547,1.7320507764816284,0.0,0.0,0.0006373079995682929
2.0,Energy (Pure Greedy),1.2659456729888916,1.2247449159622192,8.0,0.0,0.28810804200020357
2.0,Energy (Pure SA),1.269048810005188,1.2247449159622192,8.0,0.0,5.084971787000541
2.0,Energy (Hybrid),1.269048810005188,1.2247449159622192,8.0,0.0,7.014836840000498
4.0,Capability Matching (Greedy),1.3916454315185547,1.7320507764816284,0.0,0.0,0.0006714430001011351
4.0,Energy (Pure Greedy),1.0526124238967896,1.2247449159622192,8.0,0.0,0.37817158799953177
4.0,Energy (Pure SA),1.0557154417037964,1.2247449159622192,8.0,0.0,5.538257222000539
4.0,Energy (Hybrid),1.0557154417037964,1.2247449159622192,8.0,0.0,7.1628245640004025
8.0,Capability Matching (Greedy),1.3916454315185547,1.7320507764816284,0.0,0.0,0.0006441470004574512
8.0,Energy (Pure Greedy),0.4489760994911194,1.5811388492584229,14.0,2.0,0.2001361700004054
8.0,Energy (Pure SA),0.3583821654319763,1.5811388492584229,14.0,2.0,5.102424263000103
8.0,Energy (Hybrid),0.4504569172859192,1.2247449159622192,14.0,2.0,7.028560640000251
