episode,energy,load_balance,coordination,conflicts,specialization,task_clustering,communication_cost,conflict_rate,reconfig_cost,kappa_norm
0,1.5382964611053467,2.345207929611206,10.0,8.0,0.40630812644958497,0.3603323887362032,6.810758590698242,8.0,0.0,0.0
1,1.6176378726959229,1.8708287477493286,8.0,6.0,0.43282337188720704,0.3572502280917232,8.950389862060547,6.0,6.0,0.0
2,1.6828347444534302,2.8284270763397217,16.0,8.0,0.4046322822570801,0.7283660418193204,2.4171366691589355,8.0,7.0,0.0
3,1.9007200002670288,1.5811388492584229,8.0,2.0,0.3154471397399902,0.24899890849341869,12.51179027557373,2.0,6.0,0.0
4,1.0537914037704468,2.345207929611206,14.0,12.0,0.5223745822906494,0.3659989407370697,10.338385581970215,12.0,8.0,0.0
5,1.6765297651290894,2.1213202476501465,4.0,2.0,0.3351644992828369,0.11419968125328185,11.999896049499512,2.0,6.0,0.0
6,2.284191131591797,1.4142135381698608,8.0,2.0,0.32197980880737304,0.16996426744204074,11.232683181762695,2.0,7.0,0.0
7,2.199014902114868,2.4494898319244385,10.0,2.0,0.40654335021972654,0.43508038472591226,4.953080177307129,2.0,9.0,0.0
8,2.1239473819732666,2.1213202476501465,6.0,10.0,0.3053863525390625,0.4360335034818203,4.823588848114014,10.0,7.0,0.0
9,1.66621732711792,2.345207929611206,10.0,2.0,0.4257070064544678,0.5890833864076948,4.214813232421875,2.0,8.0,0.0
10,2.022101640701294,1.5811388492584229,4.0,6.0,0.32317628860473635,0.20487836003564597,7.660733699798584,6.0,8.0,0.0
11,2.1086502075195312,1.0,6.0,6.0,0.3274336576461792,0.13043388347419305,14.817148208618164,6.0,8.0,0.0
12,1.4455475807189941,1.4142135381698608,10.0,2.0,0.4397922992706299,0.40262869579182875,7.523695945739746,2.0,8.0,0.0
13,2.454042673110962,1.0,8.0,0.0,0.2750722885131836,0.428744583134724,6.507843017578125,0.0,9.0,0.0
14,1.6549855470657349,1.5811388492584229,6.0,2.0,0.3998082637786865,0.125468652270098,16.171756744384766,2.0,9.0,0.0
15,1.4349477291107178,2.0,6.0,4.0,0.4631179332733154,0.20907862496924565,7.980151653289795,4.0,3.0,0.0
16,1.4119338989257812,1.5811388492584229,6.0,4.0,0.47704648971557617,0.27193596641377044,9.600319862365723,4.0,8.0,0.0
17,1.3325791358947754,1.2247449159622192,0.0,0.0,0.4868170738220215,0.0,8.368330001831055,0.0,9.0,0.0
18,1.4742623567581177,1.5811388492584229,8.0,4.0,0.45563693046569825,0.23713041103192548,14.980340957641602,4.0,7.0,0.0
19,1.3069238662719727,1.5811388492584229,10.0,12.0,0.5072842597961426,0.3320092804004411,7.934443950653076,12.0,7.0,0.0
20,1.6085644960403442,2.8284270763397217,10.0,10.0,0.47077436447143556,0.44304386016910335,3.6961796283721924,10.0,6.0,0.0
21,1.58689284324646,0.7071067690849304,0.0,4.0,0.5121167659759521,0.0,9.905322074890137,4.0,7.0,0.0
22,2.05475115776062,1.4142135381698608,6.0,6.0,0.3934097051620483,0.17707407086831456,12.0501127243042,6.0,9.0,0.0
23,2.0972583293914795,2.0,6.0,6.0,0.3847548723220825,0.19859851784420185,11.276989936828613,6.0,6.0,0.0
24,1.4129409790039062,1.5811388492584229,4.0,6.0,0.46041364669799806,0.24658999642082446,7.965630054473877,6.0,6.0,0.0
25,2.20021915435791,1.4142135381698608,4.0,4.0,0.3188713550567627,0.11698527014362581,9.783588409423828,4.0,7.0,0.0
26,1.7140346765518188,1.5811388492584229,8.0,2.0,0.395724892616272,0.3924441598584904,6.975708961486816,2.0,8.0,0.0
27,2.244354248046875,1.5811388492584229,2.0,6.0,0.36717212200164795,0.05439356571258301,7.139399528503418,6.0,9.0,0.0
28,1.6781553030014038,1.8708287477493286,8.0,2.0,0.42281489372253417,0.29784035610935705,13.009428024291992,2.0,7.0,0.0
29,1.604421854019165,1.2247449159622192,4.0,2.0,0.5274946212768554,0.10476750581797721,10.818790435791016,2.0,9.0,0.0
30,2.0089340209960938,1.8708287477493286,6.0,8.0,0.38440375328063964,0.12243078711698975,15.425209999084473,8.0,8.0,0.0
31,2.176628351211548,1.5811388492584229,8.0,8.0,0.3898295879364014,0.2258686895556414,12.461360931396484,8.0,10.0,0.0
32,1.124022364616394,1.7320507764816284,2.0,2.0,0.5621842861175537,0.06933298878434956,15.657699584960938,2.0,8.0,0.0
33,1.5690295696258545,2.1213202476501465,10.0,4.0,0.451351261138916,0.5395226743172983,4.579286575317383,4.0,7.0,0.0
34,1.7259948253631592,1.5811388492584229,12.0,2.0,0.4171909809112549,0.40115991715179067,6.49267053604126,2.0,5.0,0.0
35,1.5763405561447144,1.0,8.0,2.0,0.38549745082855225,0.27218834923946783,13.472908973693848,2.0,10.0,0.0
36,2.020507574081421,2.0,12.0,2.0,0.3497518539428711,0.41718155654633626,7.076963424682617,2.0,8.0,0.0
37,1.5880804061889648,2.1213202476501465,10.0,8.0,0.4021449089050293,0.3169996312806887,10.134678840637207,8.0,7.0,0.0
38,1.9572393894195557,1.2247449159622192,4.0,2.0,0.38011627197265624,0.07862899477991772,12.148089408874512,2.0,6.0,0.0
39,1.535675287246704,1.5811388492584229,8.0,2.0,0.47167048454284666,0.3107959303320477,8.438630104064941,2.0,6.0,0.0
40,1.7933461666107178,2.0,6.0,6.0,0.407166576385498,0.20422530162238023,5.768866062164307,6.0,5.0,0.0
41,1.3982386589050293,2.1213202476501465,10.0,0.0,0.40309791564941405,0.3873809678164329,9.615802764892578,0.0,7.0,0.0
