episode,energy,load_balance,coordination,conflicts,specialization,task_clustering,communication_cost,conflict_rate,reconfig_cost,kappa_norm
0,1.5766624212265015,2.345207929611206,10.0,8.0,0.40630807876586916,0.3603323887362032,6.810758590698242,8.0,0.0,0.0
1,1.664718508720398,1.2247449159622192,4.0,4.0,0.4591944217681885,0.14532151379213568,11.901529312133789,4.0,6.0,0.0
2,1.7299388647079468,1.8708287477493286,10.0,6.0,0.439835786819458,0.45023722078771944,4.892066955566406,6.0,8.0,0.0
3,1.9371263980865479,1.2247449159622192,6.0,2.0,0.3452481508255005,0.1949804092084963,13.41174602508545,2.0,5.0,0.0
4,1.1134734153747559,2.345207929611206,14.0,12.0,0.5223745822906494,0.3659989407370697,10.338385581970215,12.0,8.0,0.0
5,1.6904032230377197,2.4494898319244385,8.0,6.0,0.3265497922897339,0.2809886815277625,9.740412712097168,6.0,6.0,0.0
6,2.2910308837890625,1.5811388492584229,12.0,4.0,0.32067341804504396,0.40849921142427065,8.004645347595215,4.0,7.0,0.0
7,2.237161159515381,2.4494898319244385,10.0,2.0,0.40654335021972654,0.43508038472591226,4.953080177307129,2.0,9.0,0.0
8,2.1470589637756348,2.0,6.0,10.0,0.3422322511672974,0.4360335034818203,4.823588848114014,10.0,7.0,0.0
9,1.7266403436660767,2.345207929611206,10.0,2.0,0.4257070064544678,0.5890833864076948,4.214813232421875,2.0,8.0,0.0
10,2.0411014556884766,2.0,8.0,6.0,0.3271888494491577,0.3483561742954817,6.278372287750244,6.0,8.0,0.0
11,2.124691963195801,1.2247449159622192,6.0,6.0,0.3495716333389282,0.13043388347419305,14.817148208618164,6.0,8.0,0.0
12,1.4962573051452637,1.4142135381698608,10.0,2.0,0.4397922992706299,0.40262869579182875,7.523695945739746,2.0,9.0,0.0
13,2.5028858184814453,1.0,8.0,0.0,0.2750723361968994,0.428744583134724,6.507843017578125,0.0,9.0,0.0
14,1.6747901439666748,2.1213202476501465,10.0,2.0,0.3933555603027344,0.2364023152755292,14.120383262634277,2.0,9.0,0.0
15,1.4560431241989136,2.0,6.0,4.0,0.46311798095703127,0.20907862496924565,7.980151653289795,4.0,3.0,0.0
16,1.4477914571762085,1.5811388492584229,6.0,4.0,0.47704648971557617,0.27193596641377044,9.600319862365723,4.0,8.0,0.0
17,1.3053264617919922,1.2247449159622192,6.0,2.0,0.5152892589569091,0.30413421114711053,5.8232340812683105,2.0,7.0,0.0
18,1.5208271741867065,1.5811388492584229,8.0,4.0,0.45563688278198244,0.23713041103192548,14.980340957641602,4.0,7.0,0.0
19,1.3463599681854248,1.5811388492584229,10.0,12.0,0.5072842597961426,0.3320092804004411,7.934443950653076,12.0,7.0,0.0
20,1.6379667520523071,2.8284270763397217,10.0,10.0,0.47077436447143556,0.44304386016910335,3.6961796283721924,10.0,6.0,0.0
21,1.586893081665039,0.7071067690849304,0.0,4.0,0.512116813659668,0.0,9.905322074890137,4.0,7.0,0.0
22,2.0806801319122314,1.4142135381698608,6.0,6.0,0.39340968132019044,0.17707407086831456,12.0501127243042,6.0,9.0,0.0
23,2.1011483669281006,2.345207929611206,8.0,8.0,0.39964025020599364,0.3016889584631893,9.826343536376953,8.0,7.0,0.0
24,1.4390122890472412,1.5811388492584229,4.0,6.0,0.46041364669799806,0.24658999642082446,7.965630054473877,6.0,7.0,0.0
25,2.2067604064941406,1.5811388492584229,8.0,4.0,0.3187407970428467,0.3085176771015379,7.66145658493042,4.0,6.0,0.0
26,1.7516489028930664,2.0,8.0,4.0,0.40220251083374026,0.4154029258954179,6.712104797363281,4.0,8.0,0.0
27,2.2264883518218994,1.8708287477493286,4.0,6.0,0.3808143138885498,0.11532310571082852,6.67937707901001,6.0,9.0,0.0
28,1.7333383560180664,1.8708287477493286,8.0,2.0,0.42281489372253417,0.29784035610935705,13.009428024291992,2.0,7.0,0.0
29,1.6170824766159058,1.2247449159622192,4.0,2.0,0.5274947166442872,0.10476750581797721,10.818790435791016,2.0,9.0,0.0
30,2.0247182846069336,1.4142135381698608,4.0,2.0,0.4155250072479248,0.10304910185722624,15.765887260437012,2.0,8.0,0.0
31,2.1843886375427246,1.8708287477493286,12.0,10.0,0.40803956985473633,0.406489837171992,9.553862571716309,10.0,10.0,0.0
32,1.1172960996627808,1.7320507764816284,10.0,0.0,0.5472661018371582,0.371617420819866,10.572015762329102,0.0,10.0,0.0
33,1.6226831674575806,2.1213202476501465,10.0,4.0,0.451351261138916,0.5395226743172983,4.579286575317383,4.0,8.0,0.0
34,1.7602688074111938,1.4142135381698608,10.0,2.0,0.43870935440063474,0.28080408713610644,7.79757833480835,2.0,6.0,0.0
35,1.6144452095031738,0.7071067690849304,8.0,2.0,0.43688578605651857,0.27218834923946783,13.472908973693848,2.0,10.0,0.0
36,2.0661544799804688,2.345207929611206,16.0,4.0,0.34700679779052734,0.5505733911088604,5.457232475280762,4.0,9.0,0.0
37,1.5943474769592285,2.0,10.0,8.0,0.44565858840942385,0.3169996312806887,10.134678840637207,8.0,7.0,0.0
38,1.9435060024261475,1.2247449159622192,6.0,4.0,0.41861443519592284,0.12987154455890562,11.472466468811035,4.0,7.0,0.0
39,1.5737290382385254,1.5811388492584229,8.0,2.0,0.4716705322265625,0.3107959303320477,8.438630104064941,2.0,6.0,0.0
40,1.7991430759429932,1.4142135381698608,6.0,6.0,0.4325040340423584,0.20422530162238023,5.768866062164307,6.0,6.0,0.0
41,1.4590427875518799,2.1213202476501465,10.0,0.0,0.40309796333312986,0.3873809678164329,9.615802764892578,0.0,7.0,0.0
