episode,energy,load_balance,coordination,conflicts,specialization,task_clustering,communication_cost,conflict_rate,reconfig_cost,kappa_norm
0,1.4890787601470947,2.345207929611206,4.0,0.0,0.40630807876586916,0.4,6.0,0.0,0.0,0.36840692162513733
1,1.621903896331787,1.2247449159622192,2.0,0.0,0.4591944217681885,0.2,8.0,0.0,6.0,0.7452877759933472
2,1.5869724750518799,2.7386128902435303,8.0,0.0,0.4033858299255371,0.8,2.0,0.0,6.0,0.890110969543457
3,1.8975704908370972,1.5811388492584229,4.0,0.0,0.3154471397399902,0.4,6.0,0.0,5.0,0.8538257479667664
4,1.0186610221862793,2.345207929611206,4.0,0.0,0.5223745822906494,0.4,6.0,0.0,8.0,0.9297915101051331
5,1.622883915901184,1.8708287477493286,4.0,0.0,0.35369138717651366,0.4,6.0,0.0,6.0,0.9736534357070923
6,2.2411646842956543,1.4142135381698608,4.0,0.0,0.32197985649108884,0.4,6.0,0.0,7.0,1.165722131729126
7,2.1471035480499268,2.4494898319244385,6.0,0.0,0.40654335021972654,0.6,4.0,0.0,9.0,1.1895368099212646
8,2.079516887664795,1.8708287477493286,4.0,0.0,0.3396845817565918,0.4,6.0,0.0,7.0,1.1330362558364868
9,1.6956249475479126,2.345207929611206,4.0,0.0,0.4257070064544678,0.4,6.0,0.0,9.0,1.2217351198196411
10,1.9051661491394043,1.5811388492584229,6.0,0.0,0.32317633628845216,0.6,4.0,0.0,8.0,1.2806669473648071
11,2.1105010509490967,1.2247449159622192,0.0,0.0,0.3495716333389282,0.0,10.0,0.0,8.0,1.295243263244629
12,1.4791717529296875,1.2247449159622192,2.0,0.0,0.4459549903869629,0.2,8.0,0.0,9.0,1.3960092067718506
13,2.561068534851074,0.7071067690849304,0.0,0.0,0.31029634475708007,0.0,10.0,0.0,8.0,1.403632402420044
14,1.6019456386566162,1.5811388492584229,4.0,0.0,0.39980828762054443,0.4,6.0,0.0,9.0,1.3123753070831299
15,1.3730159997940063,2.0,4.0,0.0,0.46311798095703127,0.4,6.0,0.0,3.0,1.249061942100525
16,1.3943365812301636,1.4142135381698608,4.0,0.0,0.49449777603149414,0.4,6.0,0.0,8.0,1.169527530670166
17,1.234554648399353,0.7071067690849304,4.0,0.0,0.5011259078979492,0.4,6.0,0.0,9.0,1.1701734066009521
18,1.442718267440796,2.0,4.0,0.0,0.4552445411682129,0.4,6.0,0.0,8.0,1.2296282052993774
19,1.2767882347106934,1.5811388492584229,2.0,0.0,0.5072842597961426,0.2,8.0,0.0,8.0,1.2534470558166504
20,1.47515869140625,2.8284270763397217,6.0,0.0,0.47077436447143556,0.6,4.0,0.0,6.0,1.2989237308502197
21,1.51490318775177,0.7071067690849304,2.0,0.0,0.512116813659668,0.2,8.0,0.0,7.0,1.4680613279342651
22,1.9983543157577515,1.4142135381698608,4.0,0.0,0.39340968132019044,0.4,6.0,0.0,9.0,1.5287140607833862
23,1.9624923467636108,2.8284270763397217,6.0,0.0,0.4026821136474609,0.6,4.0,0.0,7.0,1.427173376083374
24,1.387617588043213,1.5811388492584229,2.0,0.0,0.46041364669799806,0.2,8.0,0.0,8.0,1.457666039466858
25,2.162447690963745,1.4142135381698608,2.0,0.0,0.3188713788986206,0.1,18.0,0.0,6.0,1.430945873260498
26,1.6149786710739136,2.0,8.0,0.0,0.40220251083374026,0.4,12.0,0.0,9.0,1.3776838779449463
27,1.9625096321105957,1.8708287477493286,12.0,0.0,0.3808143138885498,0.6,8.0,0.0,9.0,1.5053685903549194
28,1.570600986480713,1.4142135381698608,10.0,0.0,0.43401060104370115,0.5,10.0,0.0,8.0,1.498723030090332
29,1.5738375186920166,1.2247449159622192,2.0,0.0,0.5274947166442872,0.1,18.0,0.0,10.0,1.691049337387085
30,1.8873372077941895,1.8708287477493286,6.0,0.0,0.38440380096435545,0.3,14.0,0.0,8.0,1.6425622701644897
31,1.9530497789382935,2.0,12.0,0.0,0.4080638885498047,0.6,8.0,0.0,9.0,1.7497532367706299
32,1.0741478204727173,1.0,4.0,0.0,0.5868024826049805,0.2,16.0,0.0,9.0,1.8766067028045654
33,1.451734185218811,2.1213202476501465,10.0,0.0,0.451351261138916,0.5,10.0,0.0,7.0,1.8528767824172974
34,1.643889307975769,1.7320507764816284,8.0,0.0,0.4401592254638672,0.4,12.0,0.0,7.0,2.0750553607940674
35,1.5254994630813599,0.7071067690849304,6.0,0.0,0.4368858337402344,0.3,14.0,0.0,9.0,2.038745641708374
36,1.997877597808838,2.345207929611206,6.0,0.0,0.34700679779052734,0.3,14.0,0.0,9.0,1.8724273443222046
37,1.4572315216064453,2.345207929611206,8.0,0.0,0.44033446311950686,0.4,12.0,0.0,8.0,1.7929173707962036
38,1.798382043838501,1.5811388492584229,6.0,0.0,0.43344669342041015,0.3,14.0,0.0,6.0,1.8766250610351562
39,1.526578426361084,1.5811388492584229,4.0,0.0,0.4716705322265625,0.2,16.0,0.0,5.0,1.9845930337905884
40,1.59987473487854,2.345207929611206,10.0,0.0,0.40854945182800295,0.5,10.0,0.0,5.0,1.9176784753799438
41,1.3627768754959106,2.0,8.0,0.0,0.41157002449035646,0.4,12.0,0.0,6.0,1.8243874311447144
42,1.7493807077407837,2.345207929611206,6.0,0.0,0.31839206218719485,0.3,14.0,0.0,7.0,1.883147954940796
43,1.7821472883224487,2.7386128902435303,8.0,0.0,0.3312877655029297,0.4,12.0,0.0,7.0,1.874935507774353
44,1.8329334259033203,1.0,4.0,0.0,0.4488250732421875,0.2,16.0,0.0,9.0,1.7722240686416626
45,1.794997215270996,2.0,12.0,0.0,0.2683750867843628,0.6,8.0,0.0,8.0,1.6505333185195923
46,2.1030373573303223,1.5811388492584229,4.0,0.0,0.329011058807373,0.2,16.0,0.0,7.0,1.6095503568649292
47,1.6086547374725342,0.7071067690849304,2.0,0.0,0.43080596923828124,0.1,18.0,0.0,7.0,1.6079747676849365
48,1.7545562982559204,0.7071067690849304,2.0,0.0,0.5161698341369629,0.1,18.0,0.0,9.0,1.561135172843933
49,2.0816609859466553,1.0,4.0,0.0,0.3606195211410522,0.2,16.0,0.0,10.0,1.5847605466842651
