episode,energy,load_balance,coordination,conflicts,specialization,task_clustering,communication_cost,conflict_rate,reconfig_cost,kappa_norm
0,1.5466797351837158,2.0,2.0,0.0,0.41433076858520507,0.2,8.0,0.0,0.0,0.0
1,1.6415278911590576,2.0,4.0,0.0,0.39462933540344236,0.4,6.0,0.0,6.0,0.0
2,1.5869722366333008,2.7386128902435303,8.0,0.0,0.4033858299255371,0.8,2.0,0.0,5.0,0.0
3,1.8975707292556763,1.5811388492584229,4.0,0.0,0.3154471397399902,0.4,6.0,0.0,5.0,0.0
4,1.0186610221862793,2.345207929611206,4.0,0.0,0.5223745822906494,0.4,6.0,0.0,8.0,0.0
5,1.6215004920959473,2.1213202476501465,4.0,0.0,0.3351644992828369,0.4,6.0,0.0,6.0,0.0
6,2.2411649227142334,1.4142135381698608,4.0,0.0,0.32197980880737304,0.4,6.0,0.0,7.0,0.0
7,2.147104263305664,2.4494898319244385,6.0,0.0,0.40654335021972654,0.6,4.0,0.0,9.0,0.0
8,2.0817039012908936,2.1213202476501465,4.0,0.0,0.3053863525390625,0.4,6.0,0.0,7.0,0.0
9,1.816197395324707,1.8708287477493286,2.0,0.0,0.4043691158294678,0.2,8.0,0.0,7.0,0.0
10,1.9051661491394043,1.5811388492584229,6.0,0.0,0.32317628860473635,0.6,4.0,0.0,8.0,0.0
11,2.208531618118286,1.4142135381698608,2.0,0.0,0.24480721950531006,0.2,8.0,0.0,7.0,0.0
12,1.4905736446380615,1.8708287477493286,2.0,0.0,0.42478036880493164,0.2,8.0,0.0,8.0,0.0
13,2.814495801925659,1.7320507764816284,2.0,0.0,0.18014791011810302,0.2,8.0,0.0,6.0,0.0
14,1.7780708074569702,1.8708287477493286,4.0,0.0,0.30723488330841064,0.4,6.0,0.0,7.0,0.0
15,1.3730159997940063,2.0,4.0,0.0,0.4631179332733154,0.4,6.0,0.0,5.0,0.0
16,1.422520637512207,1.5811388492584229,2.0,0.0,0.47704648971557617,0.2,8.0,0.0,8.0,0.0
17,1.3339818716049194,1.4142135381698608,0.0,0.0,0.5009804248809815,0.0,10.0,0.0,7.0,0.0
18,1.4961578845977783,1.5811388492584229,2.0,0.0,0.45769538879394533,0.2,8.0,0.0,7.0,0.0
19,1.2767884731292725,1.5811388492584229,2.0,0.0,0.5072842597961426,0.2,8.0,0.0,7.0,0.0
20,1.4751585721969604,2.8284270763397217,6.0,0.0,0.47077436447143556,0.6,4.0,0.0,6.0,0.0
21,1.5455821752548218,1.2247449159622192,2.0,0.0,0.4958205699920654,0.2,8.0,0.0,6.0,0.0
22,2.047623634338379,2.345207929611206,4.0,0.0,0.3072695732116699,0.4,6.0,0.0,7.0,0.0
23,2.0021283626556396,2.345207929611206,4.0,0.0,0.3996403217315674,0.4,6.0,0.0,7.0,0.0
24,1.387617588043213,1.5811388492584229,2.0,0.0,0.46041364669799806,0.2,8.0,0.0,7.0,0.0
25,2.162447452545166,1.4142135381698608,2.0,0.0,0.3188713550567627,0.1,18.0,0.0,6.0,0.0
26,1.6356950998306274,1.5811388492584229,8.0,0.0,0.39572486877441404,0.4,12.0,0.0,8.0,0.0
27,2.0198819637298584,1.5811388492584229,10.0,0.0,0.3671721458435059,0.5,10.0,0.0,9.0,0.0
28,1.6158639192581177,1.8708287477493286,8.0,0.0,0.42281489372253417,0.4,12.0,0.0,7.0,0.0
29,1.5738378763198853,1.2247449159622192,2.0,0.0,0.5274946689605713,0.1,18.0,0.0,9.0,0.0
30,2.021918535232544,2.4494898319244385,6.0,0.0,0.33505208492279054,0.3,14.0,0.0,7.0,0.0
31,2.085265874862671,2.1213202476501465,8.0,0.0,0.3851820468902588,0.4,12.0,0.0,6.0,0.0
32,1.0797468423843384,2.2360680103302,4.0,0.0,0.5472949028015137,0.2,16.0,0.0,9.0,0.0
33,1.4517343044281006,2.1213202476501465,10.0,0.0,0.451351261138916,0.5,10.0,0.0,8.0,0.0
34,1.642087459564209,1.5811388492584229,8.0,0.0,0.4171909809112549,0.4,12.0,0.0,5.0,0.0
35,1.5929816961288452,1.0,4.0,0.0,0.3854974269866943,0.2,16.0,0.0,10.0,0.0
36,1.993147373199463,2.345207929611206,8.0,0.0,0.3262648105621338,0.4,12.0,0.0,7.0,0.0
37,1.5068907737731934,2.1213202476501465,6.0,0.0,0.4021449089050293,0.3,14.0,0.0,7.0,0.0
38,1.798382043838501,1.5811388492584229,6.0,0.0,0.43344669342041015,0.3,14.0,0.0,5.0,0.0
39,1.526578664779663,1.5811388492584229,4.0,0.0,0.47167048454284666,0.2,16.0,0.0,5.0,0.0
40,1.615604281425476,1.8708287477493286,8.0,0.0,0.41562709808349607,0.4,12.0,0.0,5.0,0.0
41,1.4025745391845703,2.1213202476501465,6.0,0.0,0.3917579174041748,0.3,14.0,0.0,7.0,0.0
42,1.7949280738830566,1.7320507764816284,2.0,0.0,0.32794225215911865,0.1,18.0,0.0,8.0,0.0
43,1.8571765422821045,2.345207929611206,6.0,0.0,0.3364161252975464,0.3,14.0,0.0,7.0,0.0
44,1.870794653892517,1.5811388492584229,2.0,0.0,0.3320319652557373,0.1,18.0,0.0,8.0,0.0
45,1.8882677555084229,2.0,6.0,0.0,0.2609312295913696,0.3,14.0,0.0,7.0,0.0
46,2.1381852626800537,2.0,4.0,0.0,0.33672280311584474,0.2,16.0,0.0,6.0,0.0
47,1.6516127586364746,0.7071067690849304,0.0,0.0,0.4271069526672363,0.0,20.0,0.0,7.0,0.0
48,2.0944554805755615,1.5811388492584229,0.0,0.0,0.3906144857406616,0.0,20.0,0.0,7.0,0.0
49,2.0730273723602295,1.5811388492584229,8.0,0.0,0.34315946102142336,0.4,12.0,0.0,8.0,0.0
