episode,energy,load_balance,coordination,conflicts,specialization,task_clustering,communication_cost,conflict_rate,reconfig_cost,kappa_norm
0,0.029217906296253204,2.0,0.0,0.0,0.9331564903259277,0.0,0.0,0.0,0.0,0.0
1,0.15009918808937073,2.0,0.0,0.0,0.9251917997996012,0.0,0.0,0.0,0.0,0.0
2,0.1229274645447731,2.0,0.0,0.0,0.9317049185434977,0.0,0.0,0.0,0.0,0.0
3,0.05674193799495697,2.0,0.0,0.0,0.9388855298360189,0.0,0.0,0.0,0.0,0.0
4,0.07939000427722931,2.0,0.0,0.0,0.9396188259124756,0.0,0.0,0.0,0.0,0.0
5,0.07639830559492111,2.0,0.0,0.0,0.9315644900004069,0.0,0.0,0.0,0.0,0.0
6,0.08333715051412582,2.0,0.0,0.0,0.9300004641215006,0.0,0.0,0.0,0.0,0.0
7,0.15559589862823486,2.0,0.0,0.0,0.9273696740468343,0.0,0.0,0.0,0.0,0.0
8,0.15793418884277344,2.0,0.0,0.0,0.9298559824625651,0.0,0.0,0.0,0.0,0.0
9,0.10382089763879776,2.0,0.0,0.0,0.9305261770884196,0.0,0.0,0.0,0.0,0.0
10,0.1319587528705597,2.0,0.0,0.0,0.9314210414886475,0.0,0.0,0.0,0.0,0.0
11,0.03554484248161316,2.0,0.0,0.0,0.9397570292154948,0.0,0.0,0.0,0.0,0.0
12,0.12551915645599365,2.0,0.0,0.0,0.9387253920237223,0.0,0.0,0.0,0.0,0.0
13,0.0855121985077858,2.0,0.0,0.0,0.9157897631327311,0.0,0.0,0.0,0.0,0.0
14,0.085051991045475,2.0,0.0,0.0,0.9428397019704183,0.0,0.0,0.0,0.0,0.0
15,0.030473992228507996,2.0,0.0,0.0,0.9427276452382406,0.0,0.0,0.0,0.0,0.0
16,0.10481885820627213,2.0,0.0,0.0,0.9354008833567301,0.0,0.0,0.0,0.0,0.0
17,0.13453561067581177,2.0,0.0,0.0,0.9422475496927897,0.0,0.0,0.0,0.0,0.0
18,0.09086907655000687,2.0,0.0,0.0,0.9423850377400717,0.0,0.0,0.0,0.0,0.0
19,0.11770661920309067,2.0,0.0,0.0,0.9424200057983398,0.0,0.0,0.0,0.0,0.0
20,0.1116495206952095,2.0,0.0,0.0,0.9202461242675781,0.0,0.0,0.0,0.0,0.0
21,0.11798582226037979,2.0,0.0,0.0,0.9303218523661295,0.0,0.0,0.0,0.0,0.0
22,0.10517963021993637,2.0,0.0,0.0,0.9296543598175049,0.0,0.0,0.0,0.0,0.0
23,0.026346415281295776,2.0,0.0,0.0,0.9200809001922607,0.0,0.0,0.0,0.0,0.0
24,0.0992184579372406,2.0,0.0,0.0,0.9277919133504232,0.0,0.0,0.0,0.0,0.0
25,0.14060597121715546,2.0,0.0,0.0,0.9232300917307535,0.0,0.0,0.0,0.0,0.0
26,0.12042104452848434,2.0,0.0,0.0,0.9387269020080566,0.0,0.0,0.0,0.0,0.0
27,0.1051335260272026,2.0,0.0,0.0,0.9172250429789225,0.0,0.0,0.0,0.0,0.0
28,0.047741569578647614,2.0,0.0,0.0,0.9319421450297037,0.0,0.0,0.0,0.0,0.0
29,0.06275168806314468,2.0,0.0,0.0,0.9312957127888998,0.0,0.0,0.0,0.0,0.0
30,0.11057091504335403,2.0,0.0,0.0,0.9319145679473877,0.0,0.0,0.0,0.0,0.0
31,0.06864695996046066,2.0,0.0,0.0,0.9208513895670573,0.0,0.0,0.0,0.0,0.0
32,0.090580515563488,2.0,0.0,0.0,0.9250091711680094,0.0,0.0,0.0,0.0,0.0
33,0.06435006111860275,2.0,0.0,0.0,0.9431070486704508,0.0,0.0,0.0,0.0,0.0
34,0.09436234086751938,2.0,0.0,0.0,0.9365606307983398,0.0,0.0,0.0,0.0,0.0
35,0.037957169115543365,2.0,0.0,0.0,0.94293212890625,0.0,0.0,0.0,0.0,0.0
36,0.18924617767333984,2.0,0.0,0.0,0.9097619851430258,0.0,0.0,0.0,0.0,0.0
37,0.028298065066337585,2.0,0.0,0.0,0.9432166417439779,0.0,0.0,0.0,0.0,0.0
38,0.0709780678153038,2.0,0.0,0.0,0.9432187875111898,0.0,0.0,0.0,0.0,0.0
39,0.08109473437070847,2.0,0.0,0.0,0.9207646052042643,0.0,0.0,0.0,0.0,0.0
40,0.04740893095731735,2.0,0.0,0.0,0.9417014916737875,0.0,0.0,0.0,0.0,0.0
41,0.07468180358409882,2.0,0.0,0.0,0.9235022068023682,0.0,0.0,0.0,0.0,0.0
42,0.05097851902246475,2.0,0.0,0.0,0.9415305455525717,0.0,0.0,0.0,0.0,0.0
43,0.1634311079978943,2.0,0.0,0.0,0.9380719661712646,0.0,0.0,0.0,0.0,0.0
44,0.09504608064889908,2.0,0.0,0.0,0.9319949944814047,0.0,0.0,0.0,0.0,0.0
45,0.1472620666027069,2.0,0.0,0.0,0.9276448885599772,0.0,0.0,0.0,0.0,0.0
