episode,energy,load_balance,coordination,conflicts,specialization,task_clustering,communication_cost,conflict_rate,reconfig_cost,kappa_norm
0,1.5866796970367432,2.0,0.0,0.0,0.41433076858520507,0.0,0.0,0.0,0.0,0.23955197632312775
1,1.7215278148651123,2.0,0.0,0.0,0.39462933540344236,0.0,0.0,0.0,6.0,0.44990596175193787
2,1.7469723224639893,2.7386128902435303,0.0,0.0,0.4033858299255371,0.0,0.0,0.0,5.0,0.5483068823814392
3,1.9775707721710205,1.5811388492584229,0.0,0.0,0.3154471397399902,0.0,0.0,0.0,5.0,0.5712990164756775
4,1.098660945892334,2.345207929611206,0.0,0.0,0.5223745822906494,0.0,0.0,0.0,8.0,0.6382725238800049
5,1.7015005350112915,2.1213202476501465,0.0,0.0,0.3351644992828369,0.0,0.0,0.0,6.0,0.6643084287643433
6,2.321164846420288,1.4142135381698608,0.0,0.0,0.32197980880737304,0.0,0.0,0.0,7.0,0.7853929996490479
7,2.267104148864746,2.4494898319244385,0.0,0.0,0.40654335021972654,0.0,0.0,0.0,9.0,0.8172820210456848
8,2.1617038249969482,2.1213202476501465,0.0,0.0,0.3053863525390625,0.0,0.0,0.0,7.0,0.8089160323143005
9,1.8561973571777344,1.8708287477493286,0.0,0.0,0.4043691158294678,0.0,0.0,0.0,7.0,0.9382655024528503
10,2.0251662731170654,1.5811388492584229,0.0,0.0,0.32317628860473635,0.0,0.0,0.0,8.0,0.9796612858772278
11,2.2485315799713135,1.4142135381698608,0.0,0.0,0.24480721950531006,0.0,0.0,0.0,7.0,1.0288643836975098
12,1.5305736064910889,1.8708287477493286,0.0,0.0,0.42478036880493164,0.0,0.0,0.0,8.0,1.0485337972640991
13,2.825526237487793,0.7071067690849304,0.0,0.0,0.2505988121032715,0.0,0.0,0.0,6.0,1.0667760372161865
14,1.8159135580062866,1.4142135381698608,0.0,0.0,0.3522636890411377,0.0,0.0,0.0,7.0,0.9964061379432678
15,1.4530160427093506,2.0,0.0,0.0,0.4631179332733154,0.0,0.0,0.0,5.0,0.9564639329910278
16,1.4625205993652344,1.5811388492584229,0.0,0.0,0.47704648971557617,0.0,0.0,0.0,8.0,0.9242753982543945
17,1.3339818716049194,1.4142135381698608,0.0,0.0,0.5009804248809815,0.0,0.0,0.0,7.0,0.935438871383667
18,1.5361578464508057,1.5811388492584229,0.0,0.0,0.45769538879394533,0.0,0.0,0.0,7.0,0.9993696212768555
19,1.3167884349822998,1.5811388492584229,0.0,0.0,0.5072842597961426,0.0,0.0,0.0,7.0,1.0288668870925903
20,1.595158576965332,2.8284270763397217,0.0,0.0,0.47077436447143556,0.0,0.0,0.0,6.0,1.0599300861358643
21,1.5855821371078491,1.2247449159622192,0.0,0.0,0.4958205699920654,0.0,0.0,0.0,6.0,1.1088213920593262
22,2.1276235580444336,2.345207929611206,0.0,0.0,0.3072695732116699,0.0,0.0,0.0,7.0,1.1546499729156494
23,2.0821285247802734,2.345207929611206,0.0,0.0,0.3996403217315674,0.0,0.0,0.0,7.0,1.121843695640564
24,1.4276175498962402,1.5811388492584229,0.0,0.0,0.46041364669799806,0.0,0.0,0.0,7.0,1.1404355764389038
25,2.3626861572265625,3.696845531463623,0.0,0.0,0.12430728673934936,0.0,0.0,0.0,0.0,1.0560716390609741
26,1.6771825551986694,3.696845531463623,0.0,0.0,0.25186634063720703,0.0,0.0,0.0,4.0,1.0210778713226318
27,2.373555898666382,3.109126329421997,0.0,0.0,0.14259401559829712,0.0,0.0,0.0,3.0,1.1341197490692139
28,2.2417962551116943,3.7859389781951904,0.0,0.0,0.12449588775634765,0.0,0.0,0.0,4.0,1.1193218231201172
29,2.007288932800293,2.5166115760803223,0.0,0.0,0.23441483974456787,0.0,0.0,0.0,6.0,1.225064754486084
30,1.9620425701141357,3.109126329421997,0.0,0.0,0.16847697496414185,0.0,0.0,0.0,6.0,1.16825532913208
31,2.9889650344848633,5.0,0.0,0.0,-0.013620993494987488,0.0,0.0,0.0,3.0,1.1596629619598389
32,1.5735117197036743,1.9148541688919067,0.0,0.0,0.4743054866790771,0.0,0.0,0.0,7.0,1.4038431644439697
33,1.9650028944015503,3.696845531463623,0.0,0.0,0.23430726528167725,0.0,0.0,0.0,9.0,1.4276989698410034
34,2.221308469772339,3.0,0.0,0.0,0.2690144062042236,0.0,0.0,0.0,5.0,1.544533133506775
35,2.078524112701416,4.358899116516113,0.0,0.0,0.06379526853561401,0.0,0.0,0.0,3.0,1.5107978582382202
36,2.224447250366211,2.6457512378692627,0.0,0.0,0.213622522354126,0.0,0.0,0.0,3.0,1.5743895769119263
37,1.734150767326355,3.316624879837036,0.0,0.0,0.29779603481292727,0.0,0.0,0.0,5.0,1.5311886072158813
38,1.5332633256912231,2.5495097637176514,0.0,0.0,0.3516381740570068,0.0,0.0,0.0,0.0,1.5364090204238892
39,1.2760767936706543,1.5811388492584229,0.0,0.0,0.512297534942627,0.0,0.0,0.0,6.0,1.6409461498260498
40,1.550122618675232,2.915475845336914,0.0,0.0,0.3893715858459473,0.0,0.0,0.0,6.0,1.6154325008392334
41,1.2427067756652832,2.4494898319244385,0.0,0.0,0.2791282653808594,0.0,0.0,0.0,5.0,1.5821382999420166
42,1.265838623046875,2.915475845336914,0.0,0.0,0.06162818670272827,0.0,0.0,0.0,7.0,1.5797501802444458
43,1.4285533428192139,2.345207929611206,0.0,0.0,0.24785420894622803,0.0,0.0,0.0,6.0,1.5972939729690552
44,1.559669852256775,2.915475845336914,0.0,0.0,0.0021354198455810548,0.0,0.0,0.0,7.0,1.5906188488006592
45,1.3379300832748413,3.9370038509368896,0.0,0.0,0.23589282035827636,0.0,0.0,0.0,4.0,1.58109712600708
46,1.805171251296997,2.915475845336914,0.0,0.0,0.290903902053833,0.0,0.0,0.0,4.0,1.6163630485534668
47,1.4316480159759521,2.345207929611206,0.0,0.0,0.21731944084167482,0.0,0.0,0.0,6.0,1.6226454973220825
48,1.7753524780273438,2.2360680103302,0.0,0.0,0.19042601585388183,0.0,0.0,0.0,7.0,1.6834229230880737
49,1.6627676486968994,2.915475845336914,0.0,0.0,0.1223863959312439,0.0,0.0,0.0,6.0,1.7207905054092407
