episode,energy,load_balance,coordination,conflicts,specialization,task_clustering,communication_cost,conflict_rate,reconfig_cost,kappa_norm
0,1.569078803062439,2.345207929611206,0.0,0.0,0.40630807876586916,0.0,0.0,0.0,0.0,0.0
1,1.6619038581848145,1.2247449159622192,0.0,0.0,0.4591944217681885,0.0,0.0,0.0,6.0,0.0
2,1.72751784324646,1.8708287477493286,0.0,0.0,0.439835786819458,0.0,0.0,0.0,8.0,0.0
3,1.963494062423706,1.2247449159622192,0.0,0.0,0.3452481508255005,0.0,0.0,0.0,5.0,0.0
4,1.098660945892334,2.345207929611206,0.0,0.0,0.5223745822906494,0.0,0.0,0.0,8.0,0.0
5,1.7015005350112915,2.1213202476501465,0.0,0.0,0.3351644992828369,0.0,0.0,0.0,6.0,0.0
6,2.321164608001709,1.4142135381698608,0.0,0.0,0.32197985649108884,0.0,0.0,0.0,7.0,0.0
7,2.267103433609009,2.4494898319244385,0.0,0.0,0.40654335021972654,0.0,0.0,0.0,9.0,0.0
8,2.14752197265625,2.0,0.0,0.0,0.3422322511672974,0.0,0.0,0.0,7.0,0.0
9,1.7756249904632568,2.345207929611206,0.0,0.0,0.4257070064544678,0.0,0.0,0.0,8.0,0.0
10,2.0251662731170654,1.5811388492584229,0.0,0.0,0.32317633628845216,0.0,0.0,0.0,8.0,0.0
11,2.1105010509490967,1.2247449159622192,0.0,0.0,0.3495716333389282,0.0,0.0,0.0,8.0,0.0
12,1.5191717147827148,1.2247449159622192,0.0,0.0,0.4459549903869629,0.0,0.0,0.0,9.0,0.0
13,2.551729202270508,1.0,0.0,0.0,0.2750723361968994,0.0,0.0,0.0,9.0,0.0
14,1.6819456815719604,1.5811388492584229,0.0,0.0,0.39980828762054443,0.0,0.0,0.0,9.0,0.0
15,1.4530160427093506,2.0,0.0,0.0,0.46311798095703127,0.0,0.0,0.0,3.0,0.0
16,1.4625203609466553,1.5811388492584229,0.0,0.0,0.47704648971557617,0.0,0.0,0.0,8.0,0.0
17,1.301194190979004,1.0,0.0,0.0,0.5169816017150879,0.0,0.0,0.0,8.0,0.0
18,1.5227183103561401,2.0,0.0,0.0,0.4552445411682129,0.0,0.0,0.0,8.0,0.0
19,1.3167881965637207,1.5811388492584229,0.0,0.0,0.5072842597961426,0.0,0.0,0.0,8.0,0.0
20,1.5951586961746216,2.8284270763397217,0.0,0.0,0.47077436447143556,0.0,0.0,0.0,6.0,0.0
21,1.5549031496047974,0.7071067690849304,0.0,0.0,0.512116813659668,0.0,0.0,0.0,7.0,0.0
22,2.0783543586730957,1.4142135381698608,0.0,0.0,0.39340968132019044,0.0,0.0,0.0,9.0,0.0
23,2.0821285247802734,2.345207929611206,0.0,0.0,0.39964025020599364,0.0,0.0,0.0,7.0,0.0
24,1.4276175498962402,1.5811388492584229,0.0,0.0,0.46041364669799806,0.0,0.0,0.0,7.0,0.0
25,2.3626861572265625,3.696845531463623,0.0,0.0,0.12430727481842041,0.0,0.0,0.0,0.0,0.0
26,1.6547297239303589,3.109126329421997,0.0,0.0,0.34599225521087645,0.0,0.0,0.0,5.0,0.0
27,2.373555898666382,3.109126329421997,0.0,0.0,0.14259403944015503,0.0,0.0,0.0,4.0,0.0
28,2.2417962551116943,3.7859389781951904,0.0,0.0,0.12449588775634765,0.0,0.0,0.0,4.0,0.0
29,2.005305767059326,1.7320507764816284,0.0,0.0,0.318824028968811,0.0,0.0,0.0,5.0,0.0
30,1.9346401691436768,2.380476236343384,0.0,0.0,0.2258291006088257,0.0,0.0,0.0,7.0,0.0
31,2.974850654602051,4.358899116516113,0.0,0.0,0.06862678527832031,0.0,0.0,0.0,4.0,0.0
32,1.5643898248672485,1.7320507764816284,0.0,0.0,0.5212392330169677,0.0,0.0,0.0,7.0,0.0
33,1.9476135969161987,3.109126329421997,0.0,0.0,0.2897933483123779,0.0,0.0,0.0,7.0,0.0
34,2.2070586681365967,2.380476236343384,0.0,0.0,0.2675645112991333,0.0,0.0,0.0,7.0,0.0
35,2.078524112701416,4.358899116516113,0.0,0.0,0.06379528045654297,0.0,0.0,0.0,4.0,0.0
36,2.2152745723724365,2.0816659927368164,0.0,0.0,0.2511436462402344,0.0,0.0,0.0,4.0,0.0
37,1.7341506481170654,3.316624879837036,0.0,0.0,0.29779605865478515,0.0,0.0,0.0,4.0,0.0
38,1.5332632064819336,2.5495097637176514,0.0,0.0,0.3516381740570068,0.0,0.0,0.0,0.0,0.0
39,1.2760765552520752,1.5811388492584229,0.0,0.0,0.512297534942627,0.0,0.0,0.0,6.0,0.0
40,1.5338213443756104,1.8708287477493286,0.0,0.0,0.43354215621948244,0.0,0.0,0.0,7.0,0.0
41,1.2427067756652832,2.4494898319244385,0.0,0.0,0.2791282653808594,0.0,0.0,0.0,6.0,0.0
