episode,energy,load_balance,coordination,conflicts,specialization,task_clustering,communication_cost,conflict_rate,reconfig_cost,kappa_norm
0,1.5690786838531494,2.345207929611206,0.0,0.0,0.40630812644958497,0.0,0.0,0.0,0.0,0.36538177728652954
1,1.6896469593048096,1.8708287477493286,0.0,0.0,0.43282337188720704,0.0,0.0,0.0,6.0,0.7223250865936279
2,1.7469723224639893,2.7386128902435303,0.0,0.0,0.4033858299255371,0.0,0.0,0.0,6.0,0.8396097421646118
3,1.9775707721710205,1.5811388492584229,0.0,0.0,0.3154471397399902,0.0,0.0,0.0,5.0,0.8246985673904419
4,1.098660945892334,2.345207929611206,0.0,0.0,0.5223745822906494,0.0,0.0,0.0,8.0,0.897204577922821
5,1.7015005350112915,2.1213202476501465,0.0,0.0,0.3351644992828369,0.0,0.0,0.0,6.0,0.8998812437057495
6,2.321164846420288,1.4142135381698608,0.0,0.0,0.32197980880737304,0.0,0.0,0.0,7.0,1.086936354637146
7,2.267104148864746,2.4494898319244385,0.0,0.0,0.40654335021972654,0.0,0.0,0.0,9.0,1.1149712800979614
8,2.1617038249969482,2.1213202476501465,0.0,0.0,0.3053863525390625,0.0,0.0,0.0,7.0,1.0675441026687622
9,1.7756248712539673,2.345207929611206,0.0,0.0,0.4257070064544678,0.0,0.0,0.0,8.0,1.2345737218856812
10,2.0251662731170654,1.5811388492584229,0.0,0.0,0.32317628860473635,0.0,0.0,0.0,8.0,1.2795686721801758
11,2.110501289367676,1.2247449159622192,0.0,0.0,0.34957160949707033,0.0,0.0,0.0,8.0,1.3120183944702148
12,1.5305736064910889,1.8708287477493286,0.0,0.0,0.42478036880493164,0.0,0.0,0.0,9.0,1.3211678266525269
13,2.551729440689087,1.0,0.0,0.0,0.2750722885131836,0.0,0.0,0.0,9.0,1.3712708950042725
14,1.68194580078125,1.5811388492584229,0.0,0.0,0.3998082637786865,0.0,0.0,0.0,9.0,1.293091058731079
15,1.4530160427093506,2.0,0.0,0.0,0.4631179332733154,0.0,0.0,0.0,3.0,1.2146379947662354
16,1.4625205993652344,1.5811388492584229,0.0,0.0,0.47704648971557617,0.0,0.0,0.0,8.0,1.1243183612823486
17,1.3192185163497925,1.2247449159622192,0.0,0.0,0.5026727676391601,0.0,0.0,0.0,8.0,1.1441102027893066
18,1.5227181911468506,2.0,0.0,0.0,0.4552446365356445,0.0,0.0,0.0,8.0,1.2266278266906738
19,1.3167884349822998,1.5811388492584229,0.0,0.0,0.5072842597961426,0.0,0.0,0.0,8.0,1.269402027130127
20,1.595158576965332,2.8284270763397217,0.0,0.0,0.47077436447143556,0.0,0.0,0.0,6.0,1.305651307106018
21,1.5855821371078491,1.2247449159622192,0.0,0.0,0.4958205699920654,0.0,0.0,0.0,6.0,1.3822582960128784
22,2.1276235580444336,2.345207929611206,0.0,0.0,0.3072695732116699,0.0,0.0,0.0,7.0,1.4184443950653076
23,2.0821285247802734,2.345207929611206,0.0,0.0,0.3996403217315674,0.0,0.0,0.0,7.0,1.3250432014465332
24,1.4276175498962402,1.5811388492584229,0.0,0.0,0.46041364669799806,0.0,0.0,0.0,7.0,1.3658510446548462
25,2.3626861572265625,3.696845531463623,0.0,0.0,0.12430728673934936,0.0,0.0,0.0,0.0,1.3064616918563843
26,1.6771825551986694,3.696845531463623,0.0,0.0,0.25186634063720703,0.0,0.0,0.0,4.0,1.2370189428329468
27,2.373555898666382,3.109126329421997,0.0,0.0,0.14259401559829712,0.0,0.0,0.0,3.0,1.4097000360488892
28,2.2417962551116943,3.7859389781951904,0.0,0.0,0.12449588775634765,0.0,0.0,0.0,4.0,1.370500922203064
29,2.007288932800293,2.5166115760803223,0.0,0.0,0.23441483974456787,0.0,0.0,0.0,6.0,1.55103600025177
30,1.9620425701141357,3.109126329421997,0.0,0.0,0.16847697496414185,0.0,0.0,0.0,6.0,1.4606519937515259
31,2.9889650344848633,5.0,0.0,0.0,-0.013620993494987488,0.0,0.0,0.0,3.0,1.4141042232513428
32,1.5735117197036743,1.9148541688919067,0.0,0.0,0.4743054866790771,0.0,0.0,0.0,7.0,1.773079752922058
33,1.9650028944015503,3.696845531463623,0.0,0.0,0.23430726528167725,0.0,0.0,0.0,9.0,1.8224589824676514
34,2.2070586681365967,2.380476236343384,0.0,0.0,0.2675645351409912,0.0,0.0,0.0,6.0,1.9982353448867798
35,2.078524112701416,4.358899116516113,0.0,0.0,0.06379526853561401,0.0,0.0,0.0,4.0,1.9536371231079102
36,2.224447250366211,2.6457512378692627,0.0,0.0,0.213622522354126,0.0,0.0,0.0,3.0,2.049724578857422
37,1.734150767326355,3.316624879837036,0.0,0.0,0.29779603481292727,0.0,0.0,0.0,5.0,1.93243408203125
38,1.5332633256912231,2.5495097637176514,0.0,0.0,0.3516381740570068,0.0,0.0,0.0,0.0,1.926977276802063
39,1.2760767936706543,1.5811388492584229,0.0,0.0,0.512297534942627,0.0,0.0,0.0,6.0,2.053138494491577
40,1.550122618675232,2.915475845336914,0.0,0.0,0.3893715858459473,0.0,0.0,0.0,6.0,1.9914947748184204
41,1.2427067756652832,2.4494898319244385,0.0,0.0,0.2791282653808594,0.0,0.0,0.0,5.0,1.9369245767593384
42,1.265838623046875,2.915475845336914,0.0,0.0,0.06162818670272827,0.0,0.0,0.0,7.0,2.000574827194214
43,1.4285533428192139,2.345207929611206,0.0,0.0,0.24785420894622803,0.0,0.0,0.0,6.0,2.0301918983459473
44,1.559669852256775,2.915475845336914,0.0,0.0,0.0021354198455810548,0.0,0.0,0.0,7.0,1.979057788848877
45,1.3379300832748413,3.9370038509368896,0.0,0.0,0.23589282035827636,0.0,0.0,0.0,4.0,1.9484456777572632
