episode,energy,load_balance,coordination,conflicts,specialization,task_clustering,communication_cost,conflict_rate,reconfig_cost,kappa_norm
0,1.55833899974823,2.0,10.0,4.0,0.41433076858520507,0.2606149841444544,7.87248420715332,4.0,0.0,0.22506749629974365
1,1.6176378726959229,1.8708287477493286,8.0,6.0,0.43282337188720704,0.3572502280917232,8.950389862060547,6.0,6.0,0.4825272858142853
2,1.6828347444534302,2.8284270763397217,16.0,8.0,0.4046322822570801,0.7283660418193204,2.4171366691589355,8.0,7.0,0.5694800615310669
3,1.9007200002670288,1.5811388492584229,8.0,2.0,0.3154471397399902,0.24899890849341869,12.51179027557373,2.0,6.0,0.5830049514770508
4,1.0537914037704468,2.345207929611206,14.0,12.0,0.5223745822906494,0.3659989407370697,10.338385581970215,12.0,8.0,0.6349692344665527
5,1.6765297651290894,2.1213202476501465,4.0,2.0,0.3351644992828369,0.11419968125328185,11.999896049499512,2.0,6.0,0.6606354117393494
6,2.284191131591797,1.4142135381698608,8.0,2.0,0.32197980880737304,0.16996426744204074,11.232683181762695,2.0,7.0,0.7910584807395935
7,2.383193016052246,2.4494898319244385,10.0,2.0,0.3563194274902344,0.44487544789007905,4.867199420928955,2.0,6.0,0.8181408643722534
8,2.1239473819732666,2.1213202476501465,6.0,10.0,0.3053863525390625,0.4360335034818203,4.823588848114014,10.0,4.0,0.8239825367927551
9,1.7353515625,1.8708287477493286,10.0,0.0,0.4043691158294678,0.5890833864076948,4.214813232421875,0.0,7.0,0.9484621286392212
10,2.0075387954711914,2.0,8.0,6.0,0.3271888256072998,0.3483561742954817,6.278372287750244,6.0,8.0,0.9736422300338745
11,2.1086502075195312,1.0,6.0,6.0,0.3274336576461792,0.13043388347419305,14.817148208618164,6.0,8.0,1.0072579383850098
12,1.4455475807189941,1.4142135381698608,10.0,2.0,0.4397922992706299,0.40262869579182875,7.523695945739746,2.0,8.0,1.018013596534729
13,2.532916307449341,1.2247449159622192,6.0,0.0,0.2875948429107666,0.3106975628270985,7.852655410766602,0.0,8.0,1.0536047220230103
14,1.726253867149353,1.5811388492584229,6.0,2.0,0.36667394638061523,0.10943254202540503,16.46829605102539,2.0,8.0,0.9743564128875732
15,1.4349477291107178,2.0,6.0,4.0,0.4631179332733154,0.20907862496924565,7.980151653289795,4.0,3.0,0.9632605910301208
16,1.4119338989257812,1.5811388492584229,6.0,4.0,0.47704648971557617,0.27193596641377044,9.600319862365723,4.0,8.0,0.902308464050293
17,1.3337299823760986,1.5811388492584229,6.0,6.0,0.4987062931060791,0.30413421114711053,5.8232340812683105,6.0,7.0,0.9176889657974243
18,1.4742623567581177,1.5811388492584229,8.0,4.0,0.45563693046569825,0.23713041103192548,14.980340957641602,4.0,6.0,0.9751402139663696
19,1.3069238662719727,1.5811388492584229,10.0,12.0,0.5072842597961426,0.3320092804004411,7.934443950653076,12.0,7.0,1.0036264657974243
20,1.6085644960403442,2.8284270763397217,10.0,10.0,0.47077436447143556,0.44304386016910335,3.6961796283721924,10.0,6.0,1.0383814573287964
21,1.6302266120910645,1.2247449159622192,0.0,6.0,0.4958205699920654,0.0,9.905322074890137,6.0,6.0,1.1042505502700806
22,2.0743367671966553,1.5811388492584229,6.0,6.0,0.37690508365631104,0.17707407086831456,12.0501127243042,6.0,7.0,1.162835955619812
23,2.0586957931518555,2.345207929611206,8.0,8.0,0.3996403217315674,0.3016889584631893,9.826343536376953,8.0,7.0,1.1210824251174927
24,1.4129409790039062,1.5811388492584229,4.0,6.0,0.46041364669799806,0.24658999642082446,7.965630054473877,6.0,7.0,1.1445860862731934
25,3.7077407836914062,3.082206964492798,10.0,12.0,0.4513737678527832,0.44237766018980257,6.178319931030273,12.0,6.0,1.397447943687439
26,2.8297696113586426,3.464101552963257,16.0,10.0,0.5370042800903321,0.6980195647213718,3.4672160148620605,10.0,5.0,1.5586621761322021
27,3.3188843727111816,2.915475845336914,10.0,8.0,0.4791588306427002,0.43625130315757127,4.256344318389893,8.0,3.0,2.148287773132324
28,4.284112930297852,2.5495097637176514,18.0,6.0,0.45135889053344724,0.46315526149721997,9.946517944335938,6.0,6.0,2.1646180152893066
29,3.543064832687378,3.082206964492798,20.0,8.0,0.4741357803344727,0.5812510801432773,5.060537338256836,8.0,5.0,2.2041127681732178
30,2.8993914127349854,3.082206964492798,20.0,14.0,0.497911262512207,0.5468228206838531,7.965585708618164,14.0,4.0,2.361391305923462
31,3.458003044128418,3.391165018081665,14.0,18.0,0.4348894596099854,0.4301988961536001,9.172210693359375,18.0,5.0,2.6865785121917725
32,3.179668664932251,3.082206964492798,18.0,14.0,0.5003965377807618,0.6324667175318086,6.183443069458008,14.0,7.0,2.983893394470215
33,2.6856203079223633,3.464101552963257,16.0,6.0,0.5196272373199463,0.6656181795392916,3.325310707092285,6.0,7.0,3.1675686836242676
34,3.3958654403686523,3.464101552963257,20.0,14.0,0.5092207431793213,0.7967744543086249,2.2033867835998535,14.0,2.0,3.3560283184051514
35,2.463407516479492,3.082206964492798,18.0,16.0,0.529268741607666,0.49150918949551153,9.412943840026855,16.0,5.0,3.260467290878296
36,3.4273006916046143,3.082206964492798,18.0,6.0,0.49640722274780275,0.6676411286522297,4.03571891784668,6.0,4.0,2.951103925704956
37,2.72113299369812,3.464101552963257,24.0,8.0,0.4902035236358643,0.7400039757672295,3.8579416275024414,8.0,3.0,3.3364098072052
38,4.354075908660889,3.391165018081665,22.0,8.0,0.479906702041626,0.5977753331383762,5.303250789642334,8.0,4.0,3.226942777633667
39,3.942080020904541,2.915475845336914,14.0,4.0,0.4874115943908691,0.42733390623273054,7.011735916137695,4.0,3.0,3.4394431114196777
40,3.1026611328125,3.464101552963257,10.0,8.0,0.5559412956237793,0.41934658696064137,4.209371566772461,8.0,5.0,3.401433229446411
41,3.0964062213897705,2.8284270763397217,18.0,10.0,0.47564873695373533,0.5702607724471691,6.7452802658081055,10.0,6.0,3.394629955291748
42,3.6319973468780518,3.9370038509368896,20.0,12.0,0.4048417091369629,0.687047271495384,4.579425811767578,12.0,5.0,3.5547521114349365
43,3.17703914642334,3.082206964492798,14.0,10.0,0.4848899841308594,0.4231544177532237,7.746206760406494,10.0,4.0,3.6407530307769775
44,3.741696834564209,2.5495097637176514,14.0,2.0,0.45264334678649903,0.42613393045010567,7.009696960449219,2.0,5.0,3.663241386413574
45,2.778311252593994,3.9370038509368896,32.0,14.0,0.5427197933197021,0.8754323737305016,2.3223702907562256,14.0,5.0,3.385990858078003
46,3.937290668487549,3.9370038509368896,18.0,16.0,0.5163919448852539,0.8640556773373145,1.2935857772827148,16.0,2.0,3.081808567047119
47,2.6991920471191406,2.1213202476501465,8.0,6.0,0.4673088550567627,0.3078436821969766,9.433937072753906,6.0,5.0,3.4164414405822754
48,5.353260517120361,3.9370038509368896,18.0,10.0,0.3983511209487915,0.8693897300926339,1.0233829021453857,10.0,6.0,3.129669189453125
49,3.9631776809692383,2.915475845336914,4.0,6.0,0.43878984451293945,0.4632408255716698,3.298180103302002,6.0,3.0,3.2899539470672607
