seed,configuration,search_mode,iterations,memory_retention,theta_retention,regime_block,regime,mean_energy,final_energy,mean_kappa_norm,final_kappa_norm
42,Static Energy,guided_sa,3,1.0,1.0,0,0,0.8854304015636444,0.7064366936683655,0.0,0.0
42,Static Energy,guided_sa,3,1.0,1.0,1,1,0.756571763753891,0.6529381275177002,0.0,0.0
42,Static Energy,guided_sa,3,1.0,1.0,2,0,0.7949488461017609,0.690934956073761,0.0,0.0
42,Static Energy,guided_sa,3,1.0,1.0,3,1,0.8056118130683899,0.7591691017150879,0.0,0.0
42,EBMAO (kappa-only),guided_sa,3,1.0,1.0,0,0,0.8895838975906372,0.7289421558380127,1.0256435245275497,1.3938206434249878
42,EBMAO (kappa-only),guided_sa,3,1.0,1.0,1,1,0.8624220967292786,0.8208088874816895,2.323553276062012,3.2538180351257324
42,EBMAO (kappa-only),guided_sa,3,1.0,1.0,2,0,0.776041567325592,0.7121303081512451,2.7902177810668944,2.724806070327759
42,EBMAO (kappa-only),guided_sa,3,1.0,1.0,3,1,0.7273696303367615,0.747482419013977,3.2135183334350588,3.5420007705688477
42,EBMAO (theta-only),guided_sa,3,1.0,1.0,0,0,0.8776686012744903,0.7170066833496094,0.0,0.0
42,EBMAO (theta-only),guided_sa,3,1.0,1.0,1,1,0.7785622596740722,0.7548532485961914,0.0,0.0
42,EBMAO (theta-only),guided_sa,3,1.0,1.0,2,0,0.7788923144340515,0.6941567063331604,0.0,0.0
42,EBMAO (theta-only),guided_sa,3,1.0,1.0,3,1,0.7642378747463227,0.7318494915962219,0.0,0.0
42,Full EBMAO,guided_sa,3,1.0,1.0,0,0,0.8800069630146027,0.6898117065429688,1.0710030287504195,1.4917919635772705
42,Full EBMAO,guided_sa,3,1.0,1.0,1,1,0.7330462455749511,0.7555614709854126,2.343524527549744,3.059427499771118
42,Full EBMAO,guided_sa,3,1.0,1.0,2,0,0.781913948059082,0.675215482711792,2.4553505420684814,2.409630298614502
42,Full EBMAO,guided_sa,3,1.0,1.0,3,1,0.8349204242229462,0.8326244354248047,3.0908735752105714,3.5795390605926514
43,Static Energy,guided_sa,3,1.0,1.0,0,0,1.2718403577804565,1.0565369129180908,0.0,0.0
43,Static Energy,guided_sa,3,1.0,1.0,1,1,1.331985080242157,1.2651439905166626,0.0,0.0
43,Static Energy,guided_sa,3,1.0,1.0,2,0,0.9963831245899201,0.986869215965271,0.0,0.0
43,Static Energy,guided_sa,3,1.0,1.0,3,1,1.273403000831604,1.2666512727737427,0.0,0.0
43,EBMAO (kappa-only),guided_sa,3,1.0,1.0,0,0,1.2454685926437379,1.003589153289795,1.5823079586029052,2.174607276916504
43,EBMAO (kappa-only),guided_sa,3,1.0,1.0,1,1,1.3726137042045594,1.220212459564209,3.0274271249771116,4.054014682769775
43,EBMAO (kappa-only),guided_sa,3,1.0,1.0,2,0,1.0350578606128693,0.9392154216766357,3.253015065193176,2.935361385345459
43,EBMAO (kappa-only),guided_sa,3,1.0,1.0,3,1,1.381467592716217,1.286234974861145,3.4058143854141236,3.904839277267456
43,EBMAO (theta-only),guided_sa,3,1.0,1.0,0,0,1.2718403577804565,1.0565369129180908,0.0,0.0
43,EBMAO (theta-only),guided_sa,3,1.0,1.0,1,1,1.331985080242157,1.2651439905166626,0.0,0.0
43,EBMAO (theta-only),guided_sa,3,1.0,1.0,2,0,0.9963831245899201,0.986869215965271,0.0,0.0
43,EBMAO (theta-only),guided_sa,3,1.0,1.0,3,1,1.273403000831604,1.2666512727737427,0.0,0.0
43,Full EBMAO,guided_sa,3,1.0,1.0,0,0,1.2454685926437379,1.003589153289795,1.5823079586029052,2.174607276916504
43,Full EBMAO,guided_sa,3,1.0,1.0,1,1,1.3726137042045594,1.220212459564209,3.0274271249771116,4.054014682769775
