regime_block,seed,iterations,memory_retention,theta_retention,regime,mean_energy,final_energy,mean_kappa_norm,final_kappa_norm,sweep_parameter,retention
0,43.0,3.0,1.0,0.0,0.0,1.0286101877689362,0.8642391562461853,1.564110631744067,2.221074938774109,theta_retention,0.0
1,43.0,3.0,1.0,0.0,1.0,1.1045953492323557,1.050756851832072,2.8712201356887816,3.7277594407399497,theta_retention,0.0
2,43.0,3.0,1.0,0.0,0.0,0.9410961667696635,0.861323614915212,3.0999742984771728,3.0110382239023843,theta_retention,0.0
3,43.0,3.0,1.0,0.0,1.0,1.0649445513884226,1.0143282612164815,3.308236598968506,3.624870220820109,theta_retention,0.0
0,43.0,3.0,1.0,0.25,0.0,1.0286101877689362,0.8642391562461853,1.564110631744067,2.221074938774109,theta_retention,0.25
1,43.0,3.0,1.0,0.25,1.0,1.1045953492323557,1.050756851832072,2.8712201356887816,3.7277594407399497,theta_retention,0.25
2,43.0,3.0,1.0,0.25,0.0,0.9410961667696635,0.861323614915212,3.0999742984771728,3.0110382239023843,theta_retention,0.25
3,43.0,3.0,1.0,0.25,1.0,1.0649445513884226,1.0143282612164815,3.308236598968506,3.624870220820109,theta_retention,0.25
0,43.0,3.0,1.0,0.5,0.0,1.0286101877689362,0.8642391562461853,1.564110631744067,2.221074938774109,theta_retention,0.5
1,43.0,3.0,1.0,0.5,1.0,1.1045953492323557,1.050756851832072,2.8712201356887816,3.7277594407399497,theta_retention,0.5
2,43.0,3.0,1.0,0.5,0.0,0.9410961667696635,0.861323614915212,3.0999742984771728,3.0110382239023843,theta_retention,0.5
3,43.0,3.0,1.0,0.5,1.0,1.0649445513884226,1.0143282612164815,3.308236598968506,3.624870220820109,theta_retention,0.5
0,43.0,3.0,1.0,0.75,0.0,1.0286661605040233,0.8642391562461853,1.5610129068295162,2.2188580433527627,theta_retention,0.75
1,43.0,3.0,1.0,0.75,1.0,1.1045953492323557,1.050756851832072,2.8707045157750444,3.7275845209757485,theta_retention,0.75
2,43.0,3.0,1.0,0.75,0.0,0.9410961667696635,0.861323614915212,3.0999073823293046,3.0110533237457275,theta_retention,0.75
3,43.0,3.0,1.0,0.75,1.0,1.0649445513884226,1.0143282612164815,3.3082614024480184,3.624875783920288,theta_retention,0.75
0,43.0,3.0,1.0,1.0,0.0,1.0302628755569458,0.8675346771876017,1.5599007119735082,2.2135669390360513,theta_retention,1.0
1,43.0,3.0,1.0,1.0,1.0,1.0970563054084776,1.0476330121358235,2.855025895436605,3.6651472250620523,theta_retention,1.0
2,43.0,3.0,1.0,1.0,0.0,0.9363994777202606,0.8424323995908102,2.9957157611846923,2.9043120543162027,theta_retention,1.0
3,43.0,3.0,1.0,1.0,1.0,1.113343503077825,1.0858389933904011,3.2487390438715615,3.621824343999227,theta_retention,1.0
0,43.0,3.0,0.0,1.0,0.0,1.0370465795199075,0.8869988520940145,0.4965763668219248,0.5165170232454935,memory_retention,0.0
1,43.0,3.0,0.0,1.0,1.0,1.1338464240233102,1.0500356952349346,0.636025995016098,0.6251800457636515,memory_retention,0.0
2,43.0,3.0,0.0,1.0,0.0,0.9128604173660279,0.8656016190846761,0.5040504803260167,0.5250373383363088,memory_retention,0.0
3,43.0,3.0,0.0,1.0,1.0,1.0326698819796245,0.9485767682393392,0.6752832492192585,0.6621078252792358,memory_retention,0.0
0,43.0,3.0,0.25,1.0,0.0,1.0379626691341401,0.8983443180720011,0.6007241497437159,0.5832755068937937,memory_retention,0.25
1,43.0,3.0,0.25,1.0,1.0,1.143449354171753,1.0664998888969421,0.8074531733989715,0.8675586382548014,memory_retention,0.25
2,43.0,3.0,0.25,1.0,0.0,0.9218046784400941,0.8877285122871399,0.6599354942639669,0.7030014097690582,memory_retention,0.25
3,43.0,3.0,0.25,1.0,1.0,1.0694800118605297,0.995340883731842,0.7514510889848074,0.7499312957127889,memory_retention,0.25
0,43.0,3.0,0.5,1.0,0.0,1.039478236436844,0.8983443180720011,0.7520369380712509,0.7910006244977316,memory_retention,0.5
1,43.0,3.0,0.5,1.0,1.0,1.1459351817766825,1.0664998888969421,1.0489135384559631,1.142757534980774,memory_retention,0.5
2,43.0,3.0,0.5,1.0,0.0,0.9166243314743042,0.8597634037335714,0.8235440333684285,0.9098357359568278,memory_retention,0.5
3,43.0,3.0,0.5,1.0,1.0,1.0908020277818045,1.0028926332791646,1.0741648773352306,1.1159356435139973,memory_retention,0.5
0,43.0,3.0,0.75,1.0,0.0,1.0371017754077911,0.8915534416834513,0.9984034389257431,1.1505149801572163,memory_retention,0.75
1,43.0,3.0,0.75,1.0,1.0,1.1152345736821492,0.9789984226226807,1.5716684301694235,1.8135815461476643,memory_retention,0.75
2,43.0,3.0,0.75,1.0,0.0,0.9208729445934295,0.8479939500490824,1.2201715966065725,1.347547670205434,memory_retention,0.75
3,43.0,3.0,0.75,1.0,1.0,1.0911489248275756,1.0182236433029175,1.5571406582991283,1.698027531305949,memory_retention,0.75
0,43.0,3.0,1.0,1.0,0.0,1.0302628755569458,0.8675346771876017,1.5599007119735082,2.2135669390360513,memory_retention,1.0
1,43.0,3.0,1.0,1.0,1.0,1.0970563054084776,1.0476330121358235,2.855025895436605,3.6651472250620523,memory_retention,1.0
2,43.0,3.0,1.0,1.0,0.0,0.9363994777202606,0.8424323995908102,2.9957157611846923,2.9043120543162027,memory_retention,1.0
3,43.0,3.0,1.0,1.0,1.0,1.113343503077825,1.0858389933904011,3.2487390438715615,3.621824343999227,memory_retention,1.0
