Agents,Orchestrator,Energy,Runtime
5,Capability Matching (Greedy),1.2933405637741089,0.0028112489999330137
5,Energy (Pure Greedy),1.228033185005188,1.3408161679999466
5,Energy (Pure SA),1.455426573753357,3.3000133859995913
5,Energy (Hybrid),1.228033185005188,5.892463157999373
10,Capability Matching (Greedy),0.56304931640625,0.002114267000251857
10,Energy (Pure Greedy),0.536237359046936,1.9231278460001704
10,Energy (Pure SA),0.6443958282470703,5.355503910999687
10,Energy (Hybrid),0.5366772413253784,13.002708784999413
20,Capability Matching (Greedy),0.23738470673561096,0.0021479200004250742
20,Energy (Pure Greedy),0.22570106387138367,3.8184152830008316
20,Energy (Pure SA),0.2871161699295044,21.140050457999678
20,Energy (Hybrid),0.2271256148815155,33.01426193399948
