Tasks,Orchestrator,Energy,LoadBalance,Coordination,Conflicts,Runtime
10,Capability Matching (Greedy),0.5341694355010986,1.2472190856933594,0.0,0.0,0.0003178700003445556
10,Energy (Pure Greedy),0.5278365015983582,1.054092526435852,2.0,0.0,0.13562419199979558
10,Energy (Pure SA),0.5278365015983582,1.054092526435852,2.0,0.0,3.309013625999796
10,Energy (Hybrid),0.5278365015983582,1.054092526435852,2.0,0.0,4.122146700999565
20,Capability Matching (Greedy),0.6289275884628296,1.6996731758117676,4.0,0.0,0.0005165929997019703
20,Energy (Pure Greedy),0.6187059879302979,1.4142135381698608,4.0,0.0,0.27367350800022905
20,Energy (Pure SA),0.6221760511398315,1.154700517654419,4.0,0.0,3.761188168999979
20,Energy (Hybrid),0.619200587272644,1.3333333730697632,4.0,0.0,5.238719157000105
30,Capability Matching (Greedy),0.5933785438537598,2.7888667583465576,2.0,2.0,0.000845902000037313
30,Energy (Pure Greedy),0.5535992980003357,2.4944381713867188,8.0,0.0,0.9194737650000206
30,Energy (Pure SA),0.5535992980003357,2.4944381713867188,8.0,0.0,4.281020804000036
30,Energy (Hybrid),0.5535992980003357,2.4944381713867188,8.0,0.0,10.928660844000206
40,Capability Matching (Greedy),0.5447496771812439,3.0184617042541504,2.0,6.0,0.0012289119999877585
40,Energy (Pure Greedy),0.49846911430358887,2.905932664871216,14.0,0.0,0.6150956890000998
40,Energy (Pure SA),0.5290228724479675,2.403700828552246,6.0,2.0,5.94032088799986
40,Energy (Hybrid),0.49876973032951355,2.8284270763397217,14.0,0.0,9.536602503000267
50,Capability Matching (Greedy),0.56304931640625,3.4318766593933105,4.0,0.0,0.0011912529998880927
50,Energy (Pure Greedy),0.536237359046936,3.5276684761047363,20.0,0.0,1.2946021960001417
50,Energy (Pure SA),0.6169177889823914,4.055174827575684,18.0,0.0,5.738844824999887
50,Energy (Hybrid),0.5381946563720703,3.559026002883911,18.0,0.0,12.028243023999948
