Tasks,Orchestrator,Energy,Runtime
20,Capability Matching (Greedy),0.6289275884628296,0.0007215999994514277
20,Energy (Pure Greedy),0.6187059879302979,0.3579147999998895
20,Energy (Pure SA),0.6221760511398315,3.34077840000009
20,Energy (Hybrid),0.619200587272644,5.335182400000122
50,Capability Matching (Greedy),0.56304931640625,0.0019754000004468253
50,Energy (Pure Greedy),0.536237359046936,1.7526970999997502
50,Energy (Pure SA),0.6443958282470703,4.751765500000147
50,Energy (Hybrid),0.5366772413253784,11.329605199999605
100,Capability Matching (Greedy),0.6272961497306824,0.003368600000612787
100,Energy (Pure Greedy),0.5998029112815857,9.558767400000761
100,Energy (Pure SA),0.9075430631637573,6.862133999999969
100,Energy (Hybrid),0.5998029112815857,24.305986800000028
